app_id,label_flag,label_flag_type,privacy_flag,privacy_flag_type,if_equal
kila.blindmenandanelephant,1,,1,,
com.mobifitness.tanczuyutvse411931,1,,1,,
com.pea.battle.hw,1,,1,,
com.Gseeds.ThePhantomOfTheOpera,1,,1,,
com.jakyl.frootreeshe,1,,1,,
com.pop.happy.art.paint.by.number.coloring.game,1,,1,,
com.gangtoon.chakraapp,1,,1,,
com.age.math.appspot,1,,1,,
air.com.flipline.papascluckeriatogo,1,,1,,
com.hg.deadlydesert,1,,1,,
com.mafooly.preschoolzooanimals,1,,1,,
com.watchfacestudio.ml2u109,1,,1,,
com.higherone.mobile.android,1,,1,,
com.specialyg.ippro,1,,1,,
com.whizpool.filelink,1,,1,,
com.radefffactory.eightbitface,1,,1,,
com.creative.central.x7,1,,1,,
game.block.catjam,1,,1,,
com.wisdomlogix.wa.status.saver,1,,1,,
com.appswithchatgpt.dogtranslator,1,,1,,
baby.games.knowledge.park.two,1,,1,,
com.ffsvideogames.mf1,1,,1,,
com.hellobard.jackandjoe,1,,1,,
com.gamexis.racing.ferocity.apps,1,,1,,
com.lockscreenios.iphone,1,,1,,
com.barisefe.technews,1,,1,,
com.watchfacestudio.carbon_fy04,1,,1,,
com.tzegian.Calculator,1,,1,,
com.feraset.ink,1,,1,,
com.rccl.ahapp,1,,1,,
com.forefo.mens_fashion_illustration,1,,1,,
com.gphoenix.aurumegyptia,1,,1,,
br.gov.caixa.fgts.trabalhador,1,,1,,
ru.yandex.games,1,,1,,
com.razmobi.monstertruckskidsracegame,1,,1,,
kemco.hitpoint.chronus,1,,1,,
events.socio.app2791,1,,1,,
com.yy.solitaire.farm.klondike.cardgames,1,,1,,
com.sixty9design.prestige3,1,,1,,
com.dic_o.dico_ger_pol,1,,1,,
com.benzveen.utility.pdftool,1,,1,,
com.fabulousfun.kitchensetcookingfuntime,1,,1,,
co.kr.alist.speakupplus,1,,1,,
com.liuzh.launcher,1,,1,,
com.rvappstudios.montessori.math.games.kids.number.counting,1,,1,,
com.KajewdevStudio.com.CatfishBreederLife,1,,1,,
com.hitappsgames.jblprod,1,,1,,
com.apazmaterna.mobile,1,,1,,
com.madovergames.PrincessPop,1,,1,,
com.forqan.tech.DressupColoring,1,,1,,
com.extremedevelopers.armada2,1,,1,,
com.fulldive.extension.fullroid.pro,1,,1,,
com.mf.town,1,,1,,
com.dobroapps.popit.maker,1,,1,,
com.rosenburgergames.randomnation,1,,1,,
com.igg.clashoflords2,1,,1,,
com.intsig.BizCardReader,1,,1,,
com.teadoku.fa,1,,1,,
com.wemadeconnect.abyssclassic,1,,1,,
com.bt.ctp,1,,1,,
com.YovoGames.airport3,1,,1,,
cn.trinea.developer.options,1,,1,,
crowntheatre.ticketnew.android.ui,1,,1,,
com.pf.crowd.master.count.stickman.games,1,,1,,
com.syido.decibel,1,,1,,
com.feelcrafters.busout,1,,1,,
com.romancestory.books.chaptersoflove.forreading,1,,1,,
endless.nightmare.horror.scary.free.android,1,,1,,
